Name,Price,Stores,Rating,Votes,Switches,Colors
Razer Blackwidow Lite Stormtrooper Edition,94.68 €,σε 2 καταστήματα,5.0,1,Razer Orange,0
Redragon K505 RGB LED Backlit,28.00 €,σε 3 καταστήματα,5.0,1,Full Size,0
Gamdias Hermes P2,77.90 €,σε 2 καταστήματα,5.0,1,Gamdias,0
CoolerMaster CK550 (Gateron Blue),90.37 €,στο MG Manager,4.5,23,Gateron Blue,0
Zeroground KB-1800GUHMS,28.99 €,σε 9 καταστήματα,3.7,16,Μεμβράνης,0
Azio Mk Retro,159.00 €,στο Bestdeals,5.0,2,Custom Blue,0
Razer Blackwidow Ultimate 2017,114.00 €,στο Bestdeals,4.5,2,Φωτιζόμενα Πλήκτρα,0
Redragon Visnu R,38.00 €,στο Techaway,4.5,2,Custom Mechanical,0
Roccat Vulcan 100 Aimo,179.00 €,σε 2 καταστήματα,5.0,1,Titan Tactile,0
Rebeltec Patrol,10.90 €,σε 5 καταστήματα,4.5,2,Μεμβράνης,0
Omega OK-26 M-Dia,5.95 €,σε 4 καταστήματα,4.3,3,Μεμβράνης,0
A4Tech Bloody B820R,58.90 €,σε 4 καταστήματα,5.0,1,LK Blue,0
Gembird KB-UML-01,15.10 €,σε 5 καταστήματα,4.0,6,Μεμβράνης,0
Roccat Suora FX,149.00 €,στο Bestdeals,5.0,2,Custom Mechanical,0
A4Tech Bloody B314,30.52 €,σε 2 καταστήματα,4.7,3,Custom Mechanical,0
Gamesir VX AimSwitch,119.90 €,στο Kooqie,5.0,1,Custom Blue,0
Redragon Aryaman K569,68.00 €,στο Hightech,5.0,1,Outemu Blue,0
A4Tech Bloody B975 (LK Libra Brown),77.90 €,σε 20 καταστήματα,5.0,1,LK Libra Brown,0
Logitech G910 Orion Spectrum,125.00 €,σε 4 καταστήματα,4.1,24,Romer-G Tactile,0
Motospeed K82 Pink (Outemu Red),44.00 €,σε 5 καταστήματα,4.8,12,Outemu Red,2
Gembird KB-UML3-01,8.72 €,σε 10 καταστήματα,3.8,6,Μεμβράνης,2
Motospeed CK101 White (Outemu Blue),39.60 €,σε 7 καταστήματα,4.0,22,Outemu Blue,2
MSI GK-701,119.00 €,σε 2 καταστήματα,5.0,2,Cherry MX Brown,0
Trust GXT 890,67.00 €,σε 3 καταστήματα,4.0,21,Outemu Red,0
SteelSeries Apex 3,78.90 €,σε 15 καταστήματα,0.0,,Μεμβράνης,0
Dell Alienware AW510K Lunar Light,134.37 €,σε 14 καταστήματα,0.0,,Cherry MX Red Low Profile,0
Redragon K576-R,46.90 €,στο Techaway,4.3,3,Custom Blue,0
A4Tech Bloody B860,59.90 €,σε 5 καταστήματα,5.0,1,LK Blue,0
Hori Tactical Assault Commander New Tac 4,99.64 €,σε 10 καταστήματα,4.5,2,Custom Mechanical,0
A4Tech Bloody B2278,29.90 €,σε 2 καταστήματα,4.2,5,Custom Mechanical,0
Motospeed CK95,45.50 €,στο Electro Market,4.2,5,Outemu Blue,0
Weibo WB-539,17.99 €,σε 5 καταστήματα,5.0,1,Μεμβράνης,0
CoolerMaster MasterKeys MK750,129.00 €,σε 4 καταστήματα,5.0,1,Cherry MX Brown,0
HP Pavilion Gaming Keyboard 500,43.67 €,σε 17 καταστήματα,3.0,3,Custom Red,0
Trust GXT 850 Metal,39.90 €,στο Mygad,4.7,3,Φωτιζόμενα Πλήκτρα,0
Redragon Yaksa,42.00 €,στο Hightech,4.7,3,Φωτιζόμενα Πλήκτρα,0
Cougar Puri TKL (Cherry MX White),80.90 €,στο PC1,5.0,1,Cherry MX White,0
Sharkoon PureWriter RGB (Kailh Red),79.12 €,σε 4 καταστήματα,4.5,2,Kailh Red,0
Sound Friend SF-K003,8.90 €,στο E-monster,5.0,2,Μεμβράνης,0
Armaggeddon Psych Raven,37.80 €,σε 14 καταστήματα,3.0,1,Custom Blue,0
SteelSeries Apex 150,69.00 €,σε 3 καταστήματα,4.1,7,Μεμβράνης,0
SteelSeries Apex 7 TKL (Steelseries Red),149.90 €,σε 10 καταστήματα,4.0,1,SteelSeries Red,0
A4Tech B3370R,34.49 €,στο Gamefreak,4.0,1,Custom Mechanical,0
SilentiumPC GK530 Tournament (Kailh Blue),51.00 €,στο Bitprice,0.0,,Kailh Blue,0
Redragon Yama,86.00 €,στο PcBonus,5.0,7,Custom Brown,0
Razer Cynosa Lite & Abyssus Lite Bundle,75.00 €,στο TonerHouse,4.0,3,Φωτιζόμενα Πλήκτρα,0
Zeroground KB-1500GUMS,35.00 €,στο NotesTechnologias,4.1,70,Φωτιζόμενα Πλήκτρα,0
Havit KB435L,49.00 €,σε 4 καταστήματα,4.0,2,Custom Mechanical,0
Motospeed CK666,42.19 €,σε 10 καταστήματα,3.8,18,Outemu Blue,0
Spirit of Gamer Pro Gaming Pack 3 in 1,30.70 €,σε 15 καταστήματα,0.0,,Μεμβράνης,0
Sandberg Hailstorm Mech Keyboard Uk,81.58 €,σε 5 καταστήματα,5.0,1,Outemu Blue,0
Spirit of Gamer CLA-XK500,44.50 €,σε 14 καταστήματα,0.0,,Custom Mechanical,0
Motospeed K83 (Outemu Red),32.68 €,σε 11 καταστήματα,3.7,29,Outemu Red,0
Q-801,17.77 €,σε 14 καταστήματα,3.5,2,Μεμβράνης,0
CoolerMaster Suppressor,39.80 €,στο PC1,4.3,24,Μεμβράνης,0
Fury Spitfire RGB,13.29 €,σε 6 καταστήματα,4.5,2,Μεμβράνης,0
Corsair K83 Wireless Entertainment,102.90 €,σε 13 καταστήματα,0.0,,Μεμβράνης,0
Armaggeddon AK-666SFX,17.50 €,σε 10 καταστήματα,4.0,2,Μεμβράνης,0
Genesis RHOD 110,8.99 €,σε 3 καταστήματα,5.0,1,Μεμβράνης,0
Motospeed GK89 Black (Outemu Black),45.00 €,σε 6 καταστήματα,4.0,1,Outemu Black,0
Natec Hellfire 2,8.46 €,σε 10 καταστήματα,0.0,,Μεμβράνης,0
Marvo KG929,19.90 €,σε 2 καταστήματα,5.0,1,Μεμβράνης,0
Rebeltec Maximus,15.40 €,σε 8 καταστήματα,4.3,4,Μεμβράνης,0
A4Tech B120,33.90 €,στο PC1,5.0,2,Μεμβράνης,0
Armaggeddon AK-566i,35.00 €,στο Mega salapatas,4.4,5,Μεμβράνης,0
Motospeed K96 Camo (Outemu Blue),49.02 €,σε 13 καταστήματα,4.4,24,Outemu Blue,2
Motospeed K82 Pink (Outemu Blue),43.66 €,σε 12 καταστήματα,4.8,12,Outemu Blue,2
Motospeed Inflictor CK104 RGB Red (Outemu Black),33.10 €,σε 9 καταστήματα,4.7,914,Outemu Black,2
Motospeed CK101 White (Outemu Red),40.00 €,σε 6 καταστήματα,4.0,22,Outemu Red,2
Motospeed CK101 Black (Outemu Blue),39.00 €,σε 8 καταστήματα,4.0,22,Outemu Blue,2
Rebeltec Interceptor,19.50 €,σε 7 καταστήματα,4.0,2,Μεμβράνης,0
White Shark Viking 2,14.11 €,σε 11 καταστήματα,0.0,,Μεμβράνης,0
Lamtech LAM021226,11.04 €,σε 8 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
SteelSeries Apex 100,49.90 €,στο PowerUser,4.4,5,Μεμβράνης,0
Defender Xenda Combo MKP-008,25.15 €,σε 9 καταστήματα,0.0,,Μεμβράνης,0
Genius K5,14.00 €,σε 13 καταστήματα,4.2,5,Μεμβράνης,0
Razer DeathStalker Essential (US),44.90 €,σε 4 καταστήματα,4.5,11,Μεμβράνης,0
Genesis RHOD 420 RGB,22.46 €,σε 3 καταστήματα,3.8,5,Μεμβράνης,0
Marvo CM370,29.50 €,σε 4 καταστήματα,3.8,4,Μεμβράνης,0
Element KB-1000G,15.90 €,σε 10 καταστήματα,3.9,48,Μεμβράνης,0
Rebeltec Fighter,27.78 €,σε 7 καταστήματα,5.0,1,Φωτιζόμενα Πλήκτρα,0
Logic LK-21,4.66 €,σε 2 καταστήματα,4.7,3,Full Size,0
Trust GXT 845 Tural,40.00 €,στο e-God,4.3,3,Φωτιζόμενα Πλήκτρα,0
Redragon Vara RGB,55.00 €,στο Hightech,5.0,1,Custom Blue,0
Trust Rgb Wired Keyboard Black,22.80 €,σε 8 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
CoolerMaster MasterKeys Pro L RGB (Cherry MX Red),175.00 €,στο PC1,4.4,5,Cherry MX Red,0
Omega Varr RGB,12.00 €,σε 7 καταστήματα,3.0,1,Μεμβράνης,0
HP Pavilion Gaming Keyboard 800,66.35 €,σε 10 καταστήματα,0.0,,Custom Mechanical,0
Razer Cynosa V2,68.50 €,σε 6 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
iMice AK-700,18.99 €,σε 13 καταστήματα,0.0,,Μεμβράνης,0
SteelSeries Apex 7,159.98 €,σε 11 καταστήματα,3.0,2,SteelSeries Red,0
iMice AN-300-X7,18.96 €,σε 3 καταστήματα,4.0,1,Φωτιζόμενα Πλήκτρα,0
Spirit of Gamer Single Hand,39.90 €,σε 11 καταστήματα,0.0,,Custom Mechanical,0
iMice AK-200,17.60 €,σε 8 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Fury Typhoon,4.56 €,στο Techstores,5.0,1,Φωτιζόμενα Πλήκτρα,0
Motospeed K96 CamoGreen (Outemu Black),39.52 €,σε 7 καταστήματα,4.4,24,Outemu Black,0
Zeroground Taigen KB-2000G,71.99 €,σε 2 καταστήματα,4.2,10,Custom Mechanical,0
Defender Killing Storm Combo MKP-013L,34.75 €,σε 7 καταστήματα,0.0,,Μεμβράνης,0
Motospeed K96 Black (Red Switches),42.82 €,σε 8 καταστήματα,4.4,24,Custom Red,0
Havit HV-KB675CM,49.00 €,σε 5 καταστήματα,3.5,2,Φωτιζόμενα Πλήκτρα,0
Motospeed K22 (Outemu Blue),16.69 €,σε 8 καταστήματα,0.0,,Outemu Blue,0
HyperX Alloy Origins Core Mechanical Gaming Keyboard (HyperX Aqua),109.99 €,στο Msystems,4.0,1,HyperX Aqua,0
HyperX Alloy Origins (HyperX Red),109.00 €,σε 6 καταστήματα,5.0,8,HyperX Red,0
Defender GK-170L,34.99 €,σε 8 καταστήματα,0.0,,Custom Mechanical,0
Canyon Nightflyer Gaming Set,65.00 €,σε 6 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Defender GK-150DL,26.27 €,σε 8 καταστήματα,0.0,,Μεμβράνης,0
Armaggeddon AK-300X,9.71 €,σε 12 καταστήματα,0.0,,Μεμβράνης,0
Canyon Leonof Gaming Set Black/Orange,39.99 €,σε 6 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Canyon Fobos Black-Orange,21.90 €,σε 7 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
SpeedLink Ultor Illuminated,92.70 €,σε 3 καταστήματα,5.0,1,Kailh Red,0
HP Encoder (Cherry MX Red),123.00 €,σε 8 καταστήματα,0.0,,Cherry MX Red,0
Havit HV-KB500L,15.20 €,σε 4 καταστήματα,0.0,,Μεμβράνης,0
Asus Cerberus MK II,39.99 €,στο Media Markt,5.0,1,Φωτιζόμενα Πλήκτρα,0
Armaggeddon MKO 13R Enterprise White,69.24 €,σε 8 καταστήματα,5.0,1,Custom Mechanical,2
Motospeed K82 Black (Outemu Red),37.97 €,σε 7 καταστήματα,4.8,12,Outemu Red,2
Motospeed CK101 Black (Outemu Red),39.00 €,σε 7 καταστήματα,4.0,22,Outemu Red,2
Motospeed Inflictor CK104 RGB Red (Outemu Brown),35.89 €,σε 7 καταστήματα,4.7,914,Outemu Brown,2
Esperanza Shadow Red,7.23 €,σε 7 καταστήματα,0.0,,Μεμβράνης,2
Ducky One 2 RGB TKL (Cherry MX Red),169.90 €,σε 2 καταστήματα,0.0,,Cherry MX Red,0
CoolerMaster MasterSet MS120 RGB,66.75 €,στο MG Manager,4.0,7,Φωτιζόμενα Πλήκτρα,0
Logitech G815 Lightsync RGB (GL Tactile),179.90 €,σε 7 καταστήματα,5.0,1,GL Tactile,0
Esperanza NINJA,9.30 €,σε 3 καταστήματα,4.0,1,Full Size,0
Motospeed K96 CamoOrange (Outemu Brown),42.18 €,σε 6 καταστήματα,4.4,24,Outemu Brown,0
iMice MK-X80 (Custom Blue),54.43 €,σε 6 καταστήματα,0.0,,Custom Blue,0
Baseus Gamo,34.90 €,σε 6 καταστήματα,0.0,,Custom Mechanical,0
Canyon Nightfall Black-Gray,51.99 €,σε 5 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Canyon Hazard,39.99 €,σε 5 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Corsair Strafe RGB MK.2 Mechanical,159.00 €,σε 3 καταστήματα,4.0,2,Cherry MX Silent Red,0
HP Encoder (Cherry MX Brown),123.00 €,σε 7 καταστήματα,0.0,,Cherry MX Brown,0
Havit HV-KB492L,45.00 €,σε 6 καταστήματα,0.0,,Custom Mechanical,0
Havit HV-KB488L,19.90 €,σε 3 καταστήματα,0.0,,Μεμβράνης,0
Motospeed Κ23,19.90 €,σε 2 καταστήματα,4.0,3,Kailh Box White,0
Motospeed CK888 (Outemu Green),46.70 €,σε 5 καταστήματα,4.4,82,Outemu Green,0
Havit HV-KB432L,55.00 €,σε 6 καταστήματα,0.0,,Outemu Blue,0
Redragon Vata K580,61.00 €,στο Hightech,4.0,2,Outemu Blue,0
Xtrike Me KB-505,10.90 €,σε 7 καταστήματα,0.0,,Μεμβράνης,0
Natec Fury Typhoon,7.80 €,σε 4 καταστήματα,0.0,,Μεμβράνης,0
SteelSeries Apex M750,109.99 €,σε 6 καταστήματα,3.7,9,SteelSeries QX2,0
Motospeed CK104 Orion Special Edition Red (Outemu Red),37.00 €,σε 5 καταστήματα,4.9,13,Outemu Red,0
Motospeed CK99 RGB (Outemu Blue),57.89 €,σε 7 καταστήματα,5.0,1,Outemu Blue,0
Spirit of Gamer Antighosting 4,18.54 €,σε 8 καταστήματα,0.0,,Μεμβράνης,0
White Shark Cherokee,21.50 €,σε 2 καταστήματα,4.0,1,Μεμβράνης,0
Zalman ZM-K900M,93.90 €,στο PC1,5.0,1,Kailh Blue,0
Motospeed CK88 (Outemu Black),58.30 €,σε 6 καταστήματα,4.0,1,Outemu Black,0
Sharkoon PureWriter RGB (Kailh Blue),76.10 €,σε 6 καταστήματα,4.5,2,Kailh Blue,0
Rebeltec Oppressor,11.16 €,σε 2 καταστήματα,3.7,3,Μεμβράνης,0
CoolerMaster MasterKeys MK850,189.91 €,σε 3 καταστήματα,3.7,3,Cherry MX Red,0
Motospeed CK99 RGB (LK Libra Orange),55.33 €,σε 5 καταστήματα,5.0,1,LK Libra Orange,0
Ducky One 2 RGB TKL (Cherry MX Brown),169.00 €,σε 2 καταστήματα,0.0,,Cherry MX Brown,0
Motospeed CK103 Side Laser (Outemu Red),52.04 €,σε 6 καταστήματα,5.0,2,Outemu Red,0
Xtrike Me CM-404,29.90 €,σε 5 καταστήματα,0.0,,Μεμβράνης,0
Corsair K70 Lux (Cherry MX Red),175.00 €,στο Allaboutoffice,4.6,28,Cherry MX Red,0
Esperanza Tirions Green,5.95 €,σε 8 καταστήματα,0.0,,Μεμβράνης,0
Motospeed GK82 Pink (Outemu Blue),45.00 €,σε 5 καταστήματα,5.0,4,Outemu Blue,0
Weibo FC-536,8.00 €,σε 3 καταστήματα,0.0,,Full Size,0
iMice AK-800,16.24 €,σε 4 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Motospeed GK82 (Outemu Black),46.24 €,σε 4 καταστήματα,5.0,4,Outemu Black,0
Havit KB462L,65.00 €,σε 5 καταστήματα,0.0,,Custom Mechanical,0
Corsair 3-in-1 Gaming Bundle,97.50 €,σε 3 καταστήματα,3.0,2,Μεμβράνης,0
Ducky One 2 RGB (Cherry MX Brown),159.90 €,σε 2 καταστήματα,0.0,,Cherry MX Brown,0
Redragon Asura Black,25.90 €,σε 5 καταστήματα,4.3,4,Μεμβράνης,2
Roccat Isku FX White,65.69 €,σε 5 καταστήματα,4.3,3,Μεμβράνης,2
Motospeed CK80 Black (Custom Gold),57.02 €,σε 3 καταστήματα,5.0,2,Custom Gold,2
Motospeed K96 CamoOrange (Outemu Red),42.18 €,σε 5 καταστήματα,4.4,24,Outemu Red,2
Trust GXT 830-RW Avonn Camo,20.90 €,σε 6 καταστήματα,4.7,6,Μεμβράνης,2
Xtrike Me KB-705 Black,16.80 €,σε 3 καταστήματα,0.0,,Μεμβράνης,2
Havit HV-KB486L,25.00 €,σε 4 καταστήματα,0.0,,Μεμβράνης,0
Ducky One 2 RGB TKL (Cherry MX Blue),169.90 €,στο Gaming Galaxy,0.0,,Cherry MX Blue,0
Ducky One 2 RGB TKL (Cherry MX Silver),169.90 €,στο Gaming Galaxy,0.0,,Cherry MX Silver,0
Ducky One 2 SF (Cherry MX Blue),149.90 €,στο Gaming Galaxy,0.0,,Cherry MX Blue,0
Ducky One 2 SF (Cherry MX Silent Red),149.90 €,στο Gaming Galaxy,0.0,,Cherry MX Silent Red,0
Ducky One 2 Mini RGB (Cherry MX Silent Red),144.90 €,στο Gaming Galaxy,0.0,,Cherry MX Silent Red,0
Savio Tempest RX Blue (Outemu Blue),28.38 €,σε 2 καταστήματα,0.0,,Outemu Blue,0
White Shark Gladiator 2,19.99 €,στο Media Markt,0.0,,Μεμβράνης,0
White Shark Legionnaire (Outemu Blue),47.99 €,στο Media Markt,0.0,,Outemu Blue,0
Marvo KG922,29.90 €,στο Nok-Shop,4.0,4,Custom Mechanical,0
iMice AK-600,14.85 €,σε 8 καταστήματα,0.0,,Μεμβράνης,0
HyperX HyperX Alloy Elite 2 (HyperX Red),159.99 €,στο Msystems,0.0,,HyperX Red,0
Remax XII-J590,48.90 €,σε 7 καταστήματα,0.0,,Μεμβράνης,0
Remax XII-J588,44.40 €,σε 7 καταστήματα,0.0,,Custom Mechanical,0
Remax XII-J599,53.20 €,σε 7 καταστήματα,0.0,,Custom Mechanical,0
MSI Vigor GK50 Low Profile (Kailh Box White),92.00 €,σε 2 καταστήματα,0.0,,Kailh Box White,0
Logic LC-STARR-TWO,12.65 €,σε 2 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Cougar 700K,179.00 €,στο Bestdeals,5.0,1,Cherry MX Red,0
Spartan Gear Chimera,17.98 €,σε 11 καταστήματα,3.2,5,Μεμβράνης,0
Logitech G915 TKL (GL Tactile),229.00 €,στο Websupplies,0.0,,GL Tactile,0
Andowl Q-803,23.99 €,σε 6 καταστήματα,0.0,,Μεμβράνης,0
Modecom MC-5008,14.44 €,σε 2 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
Trust GXT 870,59.98 €,σε 2 καταστήματα,4.0,5,GTX White,0
Weibo WB-580,16.69 €,σε 4 καταστήματα,0.0,,Φωτιζόμενα Πλήκτρα,0
CoolerMaster CK530 (Gateron Brown),85.54 €,σε 3 καταστήματα,5.0,3,Gateron Brown,0
Xtrike Me GK-907,45.00 €,σε 5 καταστήματα,0.0,,Μεμβράνης,0
Marvo KG909,37.30 €,σε 4 καταστήματα,0.0,,Outemu Blue,0
CoolerMaster Devastator 3 Plus,49.90 €,στο You,0.0,,Φωτιζόμενα Πλήκτρα,0
FanTech Fighter K611,18.00 €,σε 7 καταστήματα,3.6,7,Μεμβράνης,0
iMice KM-680,17.60 €,στο Cosmoprice,0.0,,Φωτιζόμενα Πλήκτρα,0
Genesis Thor 420 RGB (Custom Blue),52.23 €,στο PC1,0.0,,Custom Blue,0
Esperanza Aspis,4.66 €,στο PC1,0.0,,Μεμβράνης,0
Logitech G513 Carbon (Romer-G Linear),139.00 €,στο Media Markt,4.5,24,Romer-G Linear,0
Omega Varr VMK3BK11,39.85 €,σε 7 καταστήματα,0.0,,Jixian Blue,0
Cougar Vantar MX (Custom Red),46.27 €,στο PC1,0.0,,Custom Red,0
Docooler HXSJ V100,45.90 €,στο Nextspot Store,0.0,,Μεμβράνης,0
Motospeed GK81 (Custom Blue),62.90 €,στο TechFace,0.0,,Custom Blue,0
Motospeed K96 Grey (Zeus Optical),38.99 €,σε 3 καταστήματα,4.4,24,Zeus Optical,0
Lenovo Legion K500 RGB,115.90 €,σε 4 καταστήματα,0.0,,Outemu Red,0
Havit KB-78162,12.90 €,σε 14 καταστήματα,4.0,1,Μεμβράνης,0
Havit G400V,14.89 €,σε 6 καταστήματα,4.5,2,Μεμβράνης,0
Esperanza Shadow Green,7.23 €,σε 5 καταστήματα,0.0,,Μεμβράνης,2
Motospeed CK80 Silver (Custom Gold),49.00 €,σε 6 καταστήματα,5.0,2,Custom Gold,2
Redragon Asura White,26.00 €,σε 3 καταστήματα,4.3,4,Μεμβράνης,2
Sbox K-15 Red,8.49 €,σε 3 καταστήματα,0.0,,Μεμβράνης,2
Corsair K95 RGB Platinum Black (Cherry MX Speed),198.00 €,σε 4 καταστήματα,4.6,18,Cherry MX Speed,2
Gembird KB-UML3-01-W,9.15 €,σε 7 καταστήματα,3.8,6,Μεμβράνης,2
Motospeed CK80 (Custom Silver),58.90 €,στο Websupplies,5.0,2,Custom Silver,2
Sades K13 Sickle (Kailh Blue),39.90 €,σε 4 καταστήματα,4.0,1,Kailh Blue,0
Logitech G915 TKL (GL Linear),229.00 €,στο Websupplies,0.0,,GL Linear,0
Logitech G915 TKL (GL Clicky),229.00 €,στο Websupplies,0.0,,GL Clicky,0
Turbo-X Nemesis N60 (Custom Blue),49.90 €,στο Plaisio,0.0,,Custom Blue,0
Glorious PC Gaming Race The GMMK TKL (Gateron Brown),129.99 €,στο SalasHeadphones,0.0,,Gateron Brown,0
Gamesir VX2 AimSwitch (Custom Red),149.90 €,στο Kooqie,0.0,,Custom Red,0
Motospeed GK89 (Outemu Blue),53.61 €,σε 3 καταστήματα,4.0,1,Outemu Blue,0
Active Jet K-6002,26.23 €,στο Gamefreak,0.0,,Φωτιζόμενα Πλήκτρα,0
Turbo-X Sirin II,29.90 €,στο Plaisio,0.0,,Φωτιζόμενα Πλήκτρα,0
Aula F2058 (Black Switch),40.00 €,στο Ichip,0.0,,Custom Mechanical,0
R-Horse FC-723,22.89 €,σε 3 καταστήματα,3.5,2,Μεμβράνης,0
Motospeed K11 Green,26.23 €,σε 3 καταστήματα,0.0,,Μεμβράνης,0
Motospeed K95 (Outemu Red),29.79 €,σε 3 καταστήματα,4.1,7,Outemu Red,0
Aula F2058 (Blue Switch),40.00 €,στο Ichip,0.0,,Custom Blue,0
Aula S2016 (Blue Switch) Silver,35.00 €,στο Ichip,0.0,,Custom Blue,0
