Name,Price,Stores,Rating,Votes,Type,Connection,Colors
Philips K264,7.50 €,σε 41 καταστήματα,4.7,6,Keyboard Only,USB,0
Philips SPT6324 Black,9.99 €,σε 20 καταστήματα,4.1,25,Keyboard & Mouse Set,USB,0
Philips SPT6224 Black,8.93 €,σε 37 καταστήματα,4.7,3,Keyboard & Mouse Set,USB,0
Logitech MX Keys,106.44 €,σε 8 καταστήματα,4.5,8,Keyboard Only,Bluetooth / USB,0
Powertech PT-677,3.99 €,σε 67 καταστήματα,2.7,7,Keyboard Only,USB,0
Logitech Wireless Combo MK220,23.00 €,σε 42 καταστήματα,4.1,134,Keyboard & Mouse Set,USB,0
Logitech K120,10.14 €,σε 47 καταστήματα,4.4,46,Keyboard Only,USB,0
Logitech MK850 Performance,109.99 €,σε 20 καταστήματα,4.8,10,Keyboard & Mouse Set,USB,0
Powertech PT-913,14.82 €,σε 43 καταστήματα,4.3,4,Keyboard & Mouse Set,USB,0
Philips SPT6354,10.41 €,σε 37 καταστήματα,3.8,6,Keyboard Only,USB,0
Element KB-750W,5.26 €,σε 12 καταστήματα,4.3,47,Keyboard Only,USB,0
Microsoft Sculpt Comfort Desktop,47.99 €,σε 46 καταστήματα,4.1,15,Keyboard & Mouse Set,USB,0
Dell KM717 Premier,81.34 €,σε 14 καταστήματα,4.6,20,Keyboard & Mouse Set,USB,0
Powertech PT-678,7.02 €,σε 52 καταστήματα,4.0,1,Keyboard & Mouse Set,USB,0
Philips SPK6214 Black,6.89 €,σε 37 καταστήματα,5.0,1,Keyboard Only,USB,0
Logitech Wireless Combo MK270,27.99 €,σε 30 καταστήματα,4.2,57,Keyboard & Mouse Set,USB,0
Dell KB-522,17.35 €,σε 15 καταστήματα,4.7,37,Keyboard Only,USB,0
Microsoft Wireless Desktop 900,40.85 €,σε 19 καταστήματα,4.4,37,Keyboard & Mouse Set,USB,0
Conceptum KBW03,13.48 €,σε 10 καταστήματα,4.4,19,Keyboard & Mouse Set,USB,0
Powertech PT-915,13.18 €,σε 48 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Microsoft All-in-One Media Keyboard,34.89 €,σε 24 καταστήματα,4.3,35,Keyboard with Touchpad,USB,0
NOD KBD-004,5.80 €,σε 46 καταστήματα,3.3,12,Keyboard Only,USB,0
Apple Magic Keyboard,104.87 €,σε 13 καταστήματα,4.4,19,Keyboard Only,Bluetooth,0
Riitek Rii i4,27.00 €,σε 2 καταστήματα,4.7,9,Keyboard with Touchpad,Bluetooth,0
Element KB-255WMS,8.90 €,σε 34 καταστήματα,3.0,2,Keyboard & Mouse Set,USB,0
Powertech PT-914,13.95 €,σε 40 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Factory QY-K07,9.90 €,σε 11 καταστήματα,5.0,2,Keyboard with Touchpad,USB,0
Powertech PT-696,13.27 €,σε 45 καταστήματα,3.3,3,Keyboard & Mouse Set,USB,0
Philips SPT6103,22.00 €,σε 4 καταστήματα,4.6,9,Keyboard & Mouse Set,USB,0
Philips SPT6234,7.91 €,σε 32 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Riitek i8,17.50 €,σε 6 καταστήματα,4.2,112,Keyboard with Touchpad,USB,0
Microsoft Wireless Desktop 850,32.90 €,σε 24 καταστήματα,3.9,18,Keyboard & Mouse Set,USB,0
A4Tech F1010,14.00 €,σε 32 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Philips SPT6214 Black,10.36 €,σε 33 καταστήματα,4.0,1,Keyboard & Mouse Set,USB,0
MediaRange MROS105,15.87 €,σε 9 καταστήματα,4.3,16,Keyboard & Mouse Set,USB,0
Powertech PT-302,5.90 €,σε 47 καταστήματα,2.5,2,Keyboard Only,USB,0
Dell KB216 Black,10.00 €,σε 34 καταστήματα,4.6,80,Keyboard Only,USB,3
Logitech K400 Plus Black,33.90 €,σε 43 καταστήματα,4.3,62,Keyboard with Touchpad,USB,2
HP Pavilion Wireless Keyboard and Mouse 800 Black,44.90 €,σε 9 καταστήματα,5.0,10,Keyboard & Mouse Set,USB,2
HP Pavilion Wireless Keyboard and Mouse 800 White,44.90 €,σε 12 καταστήματα,5.0,10,Keyboard & Mouse Set,USB,2
Logitech K380 Grey,44.00 €,σε 13 καταστήματα,4.7,39,Keyboard Only,Bluetooth,3
Logitech K480 Black,47.99 €,σε 15 καταστήματα,4.8,18,Keyboard Only,Bluetooth,2
Apple Magic Keyboard with Numeric Keypad White,135.95 €,σε 18 καταστήματα,4.6,7,Keyboard Only,Bluetooth,2
Alcatroz Xplorer Dock 2 BT Green,34.60 €,σε 4 καταστήματα,4.9,7,Keyboard with Touchpad,Bluetooth / Dock,2
Dell KM636 Black,24.75 €,σε 30 καταστήματα,3.7,19,Keyboard & Mouse Set,USB,2
Dell KB216 White,12.90 €,στο Nok-Shop,4.6,80,Keyboard Only,USB,3
HP Pavilion 600 Black,32.90 €,σε 10 καταστήματα,4.0,15,Keyboard Only,USB,2
Apple Magic Keyboard with Numeric Keypad Black,162.90 €,σε 9 καταστήματα,4.6,7,Keyboard Only,Bluetooth,2
Logitech Illuminated Keyboard K740,88.10 €,σε 11 καταστήματα,5.0,3,Keyboard Only,USB,0
A4Tech Fstyler Sleek FK10,9.70 €,σε 31 καταστήματα,0.0,,Keyboard Only,USB,0
Trust Ziva Multimedia,8.29 €,σε 9 καταστήματα,5.0,2,Keyboard Only,USB,0
A4Tech FG1010,19.00 €,σε 32 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Lamtech LAM081710,7.18 €,σε 9 καταστήματα,4.4,8,Keyboard Only,USB,0
Wireless QWERTY Keyboard Black,10.96 €,σε 4 καταστήματα,4.8,6,Keyboard with Touchpad,USB,0
MediaRange Multimedia,7.60 €,σε 13 καταστήματα,5.0,1,Keyboard Only,USB,0
Riitek Mini k18+,37.90 €,σε 2 καταστήματα,5.0,2,Keyboard with Touchpad,USB,0
Logitech Desktop MK120,14.21 €,σε 39 καταστήματα,4.1,11,Keyboard & Mouse Set,USB,0
Logitech Wireless Combo MK235,20.23 €,σε 34 καταστήματα,3.1,27,Keyboard & Mouse Set,USB,0
Ultra Thin Slim Mini Bluetooth 3.0,9.52 €,σε 15 καταστήματα,3.9,30,Keyboard Only,Bluetooth,0
Riitek mini X1,19.90 €,σε 12 καταστήματα,5.0,5,Keyboard with Touchpad,USB,0
Element KB-145UMS,7.50 €,σε 24 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
HP Pavilion 400,26.37 €,σε 13 καταστήματα,5.0,1,Keyboard & Mouse Set,USB,0
Riitek Rii i8X,27.00 €,σε 5 καταστήματα,4.4,11,Keyboard Only,USB,0
Logitech Craft Wireless Keyboard,196.80 €,σε 14 καταστήματα,4.0,13,Keyboard Only,Bluetooth / USB,0
i8 Black,7.50 €,σε 17 καταστήματα,0.0,,Keyboard with Touchpad,USB,0
Logitech K780 Multi-Device,99.99 €,σε 18 καταστήματα,3.8,16,Keyboard Only,Bluetooth,0
Defender HM-430,6.16 €,σε 7 καταστήματα,5.0,1,Keyboard Only,USB,0
Riitek Rii mini i8+ Black,26.90 €,στο Gadgeta,4.5,18,Keyboard with Touchpad,USB,0
Microsoft Wireless Comfort Desktop 5050,59.87 €,σε 14 καταστήματα,4.2,12,Keyboard & Mouse Set,USB,0
Keywin Mini Rii i8+,8.99 €,σε 3 καταστήματα,4.5,2,Keyboard with Touchpad,Bluetooth,0
Element KB-260WMS v2,12.90 €,σε 12 καταστήματα,4.1,9,Keyboard & Mouse Set,USB,0
Conceptum CBM502,7.22 €,σε 12 καταστήματα,3.8,5,Keyboard & Mouse Set,USB,0
Nedis KBNM100BK,7.97 €,σε 21 καταστήματα,4.0,1,Keyboard Only,USB,0
Element KB-145U,4.50 €,σε 21 καταστήματα,0.0,,Keyboard Only,USB,0
Logitech MK540 Advanced,62.41 €,σε 11 καταστήματα,4.0,4,Keyboard Only,USB,0
Tracer Reef,6.75 €,σε 2 καταστήματα,5.0,2,Keyboard Only,USB,0
Element KB-150UMS v2.0,8.80 €,στο GuruElectrics,4.8,4,Keyboard & Mouse Set,USB,0
NOD Valuepro KMS-002,8.90 €,σε 29 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
HP Pavilion 300,22.05 €,σε 17 καταστήματα,3.5,4,Keyboard Only,USB,0
Turbo-X MC 110 Red,12.90 €,στο Plaisio,5.0,1,Keyboard & Mouse Set,USB,0
Dell KM7120W,72.73 €,σε 10 καταστήματα,4.0,1,Keyboard & Mouse Set,Bluetooth,0
Microsoft Desktop 600 for Business,22.99 €,σε 8 καταστήματα,4.5,4,Keyboard & Mouse Set,USB,0
Element KB-800W,19.50 €,σε 28 καταστήματα,2.3,3,Keyboard Only,USB,0
Element KB-150U v2.0,8.90 €,στο Tech HUB Store,5.0,2,Keyboard Only,USB,0
Microsoft Wireless Desktop 3050,49.30 €,σε 19 καταστήματα,3.7,18,Keyboard & Mouse Set,USB,0
Natec NKL-0968,26.30 €,σε 3 καταστήματα,4.3,6,Keyboard with Touchpad,USB,0
Alcatroz Xplorer Dock 2 BT White,34.67 €,σε 4 καταστήματα,4.9,7,Keyboard with Touchpad,Bluetooth / Dock,2
Microsoft Surface Go Signature Type Cover Black,102.05 €,σε 11 καταστήματα,5.0,1,Keyboard Only,Dock,2
Logitech K400 Plus White,39.50 €,σε 7 καταστήματα,4.3,62,Keyboard with Touchpad,USB,2
Microsoft Wired Keyboard 600 White,13.95 €,σε 17 καταστήματα,3.9,37,Keyboard Only,USB,2
Mobilis Retro Black,27.14 €,σε 5 καταστήματα,5.0,1,Keyboard Only,USB,2
Logitech MK470 White,46.70 €,σε 4 καταστήματα,4.3,4,Keyboard & Mouse Set,USB,2
Logitech MK470 Graphite,46.93 €,σε 10 καταστήματα,4.3,4,Keyboard & Mouse Set,USB,2
Mobilis RK908 Gold,23.90 €,σε 2 καταστήματα,4.5,2,Keyboard Only,Bluetooth,3
Dell KM636 White,29.90 €,σε 17 καταστήματα,3.7,19,Keyboard & Mouse Set,USB,2
Logitech K380 Pink,49.90 €,σε 2 καταστήματα,4.7,39,Keyboard Only,Bluetooth,3
Trust Muto Silent,10.48 €,σε 4 καταστήματα,4.2,5,Keyboard Only,USB,0
HAMA Cortino Wireless,24.90 €,στο KS stores,5.0,1,Keyboard & Mouse Set,USB,0
Ασύρματο mini Qwerty Πληκτρολόγιο Μαύρο,10.56 €,σε 17 καταστήματα,0.0,,Keyboard with Touchpad,Bluetooth / USB,0
Trust Nado,22.60 €,σε 14 καταστήματα,3.4,9,Keyboard Only,Bluetooth,0
NOD W-KMS-103,14.90 €,σε 13 καταστήματα,4.0,1,Keyboard & Mouse Set,USB,0
DAS Keyboard 4 Professional,166.80 €,στο BeQ,5.0,1,Keyboard Only,USB,0
i8+ Backlit,9.82 €,σε 10 καταστήματα,4.0,1,Keyboard with Touchpad,USB,0
Logitech MK240 Nano Black,24.50 €,σε 4 καταστήματα,3.9,18,Keyboard & Mouse Set,USB,0
HP Premium,67.80 €,στο VNP Shop,5.0,1,Keyboard Only,USB,0
Microsoft Wired Desktop 600,22.25 €,σε 26 καταστήματα,4.6,5,Keyboard & Mouse Set,USB,0
Logitech K375s Multi-Device,39.32 €,σε 14 καταστήματα,3.4,7,Keyboard Only,Bluetooth / USB,0
HAMA Cortino,13.27 €,σε 3 καταστήματα,5.0,1,Keyboard & Mouse Set,USB,0
Lamtech LAM021295,8.26 €,σε 9 καταστήματα,0.0,,Keyboard Only,USB,0
C120,8.74 €,σε 28 καταστήματα,3.0,11,Keyboard & Mouse Set,USB,0
Logitech K600 TV,99.99 €,στο Bestdeals,5.0,1,Keyboard with Touchpad,USB,0
Logitech Wireless Combo MK330,38.00 €,σε 30 καταστήματα,3.5,11,Keyboard & Mouse Set,USB,0
HP K2500,19.70 €,σε 14 καταστήματα,4.2,6,Keyboard Only,USB,0
Rebeltec Millenium,15.00 €,σε 4 καταστήματα,4.0,4,Keyboard & Mouse Set,USB,0
Conceptum CB402 Black,5.17 €,σε 14 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Lamtech LAM020854,14.40 €,σε 11 καταστήματα,3.3,4,Keyboard & Mouse Set,USB,0
Trust Nova,16.50 €,σε 16 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
i8 Backlit,10.86 €,σε 11 καταστήματα,0.0,,Keyboard with Touchpad,USB,0
Logitech K400 Professional Wireless Touch Keyboard,32.00 €,σε 4 καταστήματα,4.5,2,Keyboard with Touchpad,USB,0
Microsoft Wireless Sculpt Ergonomic Desktop & Mouse,100.80 €,σε 15 καταστήματα,4.0,24,Keyboard & Mouse Set,USB,0
Riitek Rii K12+,34.00 €,στο Rhoelect,5.0,1,Keyboard with Touchpad,USB,0
Logitech K360 Black,35.00 €,σε 3 καταστήματα,4.5,55,Keyboard Only,USB,0
HP Slim Wireless Keyboard and Mouse,39.51 €,σε 4 καταστήματα,5.0,1,Keyboard & Mouse Set,USB,0
Logitech Wireless Illuminated Keyboard K800,99.99 €,σε 16 καταστήματα,4.3,22,Keyboard Only,USB,0
Conceptum CB401,6.20 €,σε 13 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Rebeltec Inspire,7.38 €,σε 4 καταστήματα,5.0,1,Keyboard Only,USB,0
Microsoft Designer Bluetooth Desktop,83.75 €,σε 14 καταστήματα,4.0,4,Keyboard & Mouse Set,Bluetooth,0
Marvo DCM001,15.70 €,σε 10 καταστήματα,3.0,1,Keyboard & Mouse Set,USB,0
Lenovo Wireless Keyboard and Mouse Combo,47.50 €,σε 3 καταστήματα,4.3,4,Keyboard & Mouse Set,USB,0
Keywin RL-GK03 Black,10.78 €,στο 247home,3.3,3,Keyboard & Mouse Set,Bluetooth,0
Logitech Wireless Desktop MK710,90.90 €,σε 28 καταστήματα,3.9,15,Keyboard & Mouse Set,USB,0
Rebeltec Whiterun Set,17.50 €,σε 9 καταστήματα,0.0,,Keyboard & Mouse Set,Bluetooth / USB,0
Natec NZB-1440,13.76 €,σε 9 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Lenovo Preferred Pro II,30.79 €,σε 11 καταστήματα,4.0,1,Keyboard Only,USB,0
Lenovo Professional Wireless Keyboard,35.10 €,σε 12 καταστήματα,0.0,,Keyboard Only,USB,0
Marvo DKB001,4.40 €,σε 8 καταστήματα,0.0,,Keyboard Only,USB,0
Weibo WB-8012,13.79 €,σε 7 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Microsoft Wired Keyboard 600 Black,13.50 €,σε 30 καταστήματα,3.9,37,Keyboard Only,USB,2
Xiaomi MIIIW MWBK01 White,57.90 €,σε 2 καταστήματα,5.0,1,Keyboard Only,Bluetooth,2
Mobilis RK908 Silver,25.50 €,σε 12 καταστήματα,4.5,2,Keyboard Only,Bluetooth,3
HP Pavilion 600 White,32.59 €,σε 12 καταστήματα,4.0,15,Keyboard Only,USB,2
Xiaomi MIIIW Black,32.90 €,σε 3 καταστήματα,4.0,4,Keyboard & Mouse Set,USB,2
Microsoft Surface Pro Signature Type Cover Alcantara Burgundy,174.51 €,σε 7 καταστήματα,0.0,,Keyboard with Touchpad,Dock,6
Logitech K480 White,48.00 €,σε 7 καταστήματα,4.8,18,Keyboard Only,Bluetooth,2
Microsoft Surface Pro X,120.00 €,σε 6 καταστήματα,0.0,,Keyboard with Touchpad,Dock,0
Rebeltec Primero,5.30 €,σε 8 καταστήματα,0.0,,Keyboard Only,USB,0
Logitech MX900 Performance Combo,178.73 €,σε 10 καταστήματα,0.0,,Keyboard & Mouse Set,Bluetooth,0
Natec Tetra Black/Grey,20.63 €,σε 5 καταστήματα,0.0,,Keyboard & Mouse Set,USB,0
Defender HB 520,5.54 €,σε 6 καταστήματα,0.0,,Keyboard Only,USB,0
Defender HB 260,7.17 €,σε 6 καταστήματα,0.0,,Keyboard Only,USB,0
HP C2710 Combo White,28.90 €,σε 10 καταστήματα,3.0,1,Keyboard & Mouse Set,USB,0
Conceptum KBW02,16.49 €,σε 19 καταστήματα,0.0,,Keyboard with Touchpad,USB,0
Andowl Q-813,5.69 €,σε 8 καταστήματα,0.0,,Keyboard Only,USB,0
Marvo DKB002,5.80 €,σε 7 καταστήματα,0.0,,Keyboard Only,USB,0
Logitech Comfort Wave MK570,105.00 €,στο Bestdeals,5.0,1,Keyboard & Mouse Set,USB,0
Silicone Keyboard Μαύρο,8.80 €,σε 5 καταστήματα,0.0,,Keyboard Only,USB,0
Microsoft Bluetooth Desktop,51.55 €,σε 3 καταστήματα,0.0,,Keyboard & Mouse Set,Bluetooth,0
Σετ Ασύρματο Πληκτρολόγιο και Ασύρματο Οπτικό Ποντίκι SPM R175750,39.95 €,σε 6 καταστήματα,0.0,,Keyboard & Mouse Set,Bluetooth / USB,0
Gembird KPD-UT-01,6.74 €,σε 8 καταστήματα,0.0,,Keyboard Only,USB,0
Approx MK210,6.00 €,σε 6 καταστήματα,0.0,,Keyboard Only,USB,0
Havit XL-KB006,17.99 €,σε 6 καταστήματα,5.0,1,Keyboard with Touchpad,USB,0
Approx KBVLV5,6.39 €,σε 3 καταστήματα,5.0,1,Keyboard Only,USB,0
Natec Flameback,3.27 €,σε 6 καταστήματα,0.0,,Keyboard Only,USB,0
Powertech PT-189,14.89 €,στο JKazakos,4.7,3,Keyboard & Mouse Set,USB,0
Esperanza EK116,5.55 €,σε 9 καταστήματα,4.0,2,Keyboard Only,USB,0
NOD ValuePro Wireless W-KMS-102,14.90 €,σε 16 καταστήματα,2.0,1,Keyboard & Mouse Set,USB,0
NOD W-KMS-101,14.90 €,στο GC-TECH,4.3,3,Keyboard & Mouse Set,USB,0
Q-812 Black,23.00 €,σε 5 καταστήματα,0.0,,Keyboard Only,Bluetooth,0
Trust Classicline Keyboard New,8.88 €,σε 10 καταστήματα,4.0,5,Keyboard Only,USB,0
Microsoft Bluetooth Keyboard,46.06 €,σε 3 καταστήματα,0.0,,Keyboard Only,Bluetooth,0
Microsoft Type Cover 2 Purple,29.90 €,στο Infoworld,5.0,2,Keyboard with Touchpad,Dock,0
Wesdar V2,7.20 €,σε 6 καταστήματα,0.0,,Keyboard Only,USB,0
Logitech MX KEYS for Mac,109.99 €,σε 2 καταστήματα,0.0,,Keyboard Only,Bluetooth / USB,0
uGo Askja K110,4.10 €,σε 2 καταστήματα,0.0,,Keyboard Only,USB,0
Omega OK05TGR,5.45 €,σε 20 καταστήματα,3.2,5,Keyboard Only,USB,0
Media-Tech MT122K-US,8.05 €,σε 5 καταστήματα,0.0,,Keyboard Only,PS/2,0
uGo Askja K140,2.79 €,σε 3 καταστήματα,0.0,,Keyboard Only,USB,0
Alcatroz Jellybean U2000 White/Mint,11.04 €,σε 6 καταστήματα,4.0,1,Keyboard & Mouse Set,USB,5
Microsoft Surface Go Signature Type Cover Ice Blue,113.00 €,σε 4 καταστήματα,0.0,,Keyboard with Touchpad,Dock,2
Alcatroz U2000 Black,11.04 €,σε 8 καταστήματα,4.0,1,Keyboard & Mouse Set,USB,5
Natec Discus White,7.31 €,σε 6 καταστήματα,0.0,,Keyboard Only,USB,2
Alcatroz Jellybean U2000 White,11.04 €,σε 8 καταστήματα,4.0,1,Keyboard & Mouse Set,USB,5
Alcatroz Xplorer Go BT100 Black,13.70 €,σε 5 καταστήματα,0.0,,Keyboard Only,Bluetooth,2
Alcatroz Airpad 1 Black,21.40 €,σε 7 καταστήματα,2.0,1,Keyboard with Touchpad,USB,2
